"g_governorate","w_treatrank_stand","w_treatrank_boiling","w_treatrank_sun","w_treatrank_chlorine","w_treatrank_filter","w_treatrank_other"
"YE12",19.3125,20,19.625,20.875,19.1875,20.0625
"YE24",20.1111111111111,19.8888888888889,21,19.8888888888889,20.2222222222222,19.8888888888889
"YE14",19.8717948717949,20.4102564102564,20.025641025641,19.7179487179487,19.9487179487179,19.7948717948718
"YE30",20.3333333333333,20.3333333333333,20.2222222222222,19.4444444444444,19.2222222222222,20.1111111111111
"YE18",20,19.5862068965517,19.5862068965517,20.4137931034483,20.2068965517241,19.9310344827586
"YE16",19.3571428571429,19.7142857142857,19.5,19.5,19.7857142857143,20.0714285714286
"YE28",20.6363636363636,19.6363636363636,19.4545454545455,19.4545454545455,19.7272727272727,19.5454545454545
"YE27",19,20,20.1428571428571,20.2857142857143,19.8571428571429,20.4285714285714
"YE29",19.75,19.75,19.625,19.0416666666667,20.625,20.375
"YE20",20.8235294117647,19.1764705882353,19.7058823529412,19.6470588235294,19.4705882352941,20.3529411764706
"YE19",20.2941176470588,20.3333333333333,20.3529411764706,19.921568627451,19.921568627451,20.4705882352941
"YE17",19.8695652173913,20.195652173913,21.1304347826087,19.7608695652174,19.9782608695652,19.7826086956522
"YE11",20,20.1153846153846,19.1153846153846,20.1153846153846,20.8076923076923,19.6538461538462
"YE25",19.25,19.1,19.75,20.6,20.3,20
"YE26",20.0869565217391,20.1304347826087,20.5217391304348,19.6521739130435,19.9565217391304,20
"YE31",19.8,20,21.2,19.8,20,19.3
"YE22",20.3636363636364,20.1818181818182,20.4090909090909,20.6818181818182,20.2727272727273,20.2272727272727
"YE23",19.4285714285714,19.6666666666667,20.3809523809524,20.1428571428571,19.5714285714286,20.047619047619
"YE21",20.3478260869565,19.4347826086957,20.8260869565217,20.2608695652174,19.5652173913043,20.7391304347826
"YE15",19.6857142857143,19.9142857142857,20.2,20.6,19.7714285714286,19.8857142857143
"YE13",20.4117647058824,20.1764705882353,20.0588235294118,20.2352941176471,20.5294117647059,19.2941176470588
