"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","19% ","31% ","19% ","31% "
"2","Aden","11% ","33% ","22% ","33% "
"3","Al Bayda","18% ","28% ","18% ","36% "
"4","Al Dhale'e","11% ","33% ","44% ","11% "
"5","Al Hudaydah","45% ","28% ","3% ","24% "
"6","Al Jawf","21% ","29% ","29% ","21% "
"7","Al Maharah","36% ","18% ","36% ","9% "
"8","Al Mahwit","29% ","43% ",NA,"29% "
"9","Amanat Al Asimah","41% ","6% ","35% ","18% "
"10","Amran","17% ","42% ","17% ","25% "
"11","Dhamar","24% ","18% ","29% ","29% "
"12","Hadramaut","35% ","29% ","14% ","22% "
"13","Hajjah","22% ","20% ","37% ","22% "
"14","Ibb","15% ","23% ","27% ","35% "
"15","Lahj","30% ","40% ","20% ","10% "
"16","Marib","22% ","39% ","22% ","17% "
"17","Raymah","50% ","10% ","30% ","10% "
"18","Sa'ada","18% ","36% ","32% ","14% "
"19","Sana'a","24% ","10% ","33% ","33% "
"20","Shabwah","22% ","39% ","26% ","13% "
"21","Taizz","20% ","46% ","26% ","9% "
