"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","25% ","25% ","25% "
"2","Aden","33% ","22% ","22% ","22% "
"3","Al Bayda","23% ","18% ","26% ","33% "
"4","Al Dhale'e","11% ","11% ","11% ","67% "
"5","Al Hudaydah","17% ","28% ","31% ","24% "
"6","Al Jawf","14% ","14% ","29% ","43% "
"7","Al Maharah","27% ","36% ",NA,"36% "
"8","Al Mahwit","29% ",NA,"14% ","57% "
"9","Amanat Al Asimah","41% ","18% ","29% ","12% "
"10","Amran","12% ","25% ","21% ","42% "
"11","Dhamar","24% ","24% ","18% ","35% "
"12","Hadramaut","25% ","20% ","33% ","22% "
"13","Hajjah","22% ","24% ","28% ","26% "
"14","Ibb","23% ","27% ","31% ","19% "
"15","Lahj","35% ","15% ","40% ","10% "
"16","Marib","30% ","22% ","26% ","22% "
"17","Raymah","30% ","30% ","20% ","20% "
"18","Sa'ada","23% ","18% ","41% ","18% "
"19","Sana'a","19% ","24% ","38% ","19% "
"20","Shabwah","26% ","22% ","26% ","26% "
"21","Taizz","14% ","37% ","20% ","29% "
