"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","12% ","19% ","19% ","6% ",NA,"19% ","25% "
"2","Aden","11% ","11% ","11% ","22% ","11% ","22% ","11% "
"3","Al Bayda","10% ","10% ","23% ","15% ","18% ","13% ","10% "
"4","Al Dhale'e",NA,"11% ","11% ","33% ","22% ",NA,"22% "
"5","Al Hudaydah","21% ","10% ","7% ","10% ","14% ","14% ","24% "
"6","Al Jawf","29% ",NA,"21% ","14% ","7% ","7% ","21% "
"7","Al Maharah","18% ",NA,"18% ","9% ","27% ","18% ","9% "
"8","Al Mahwit","14% ",NA,"43% ",NA,"14% ","14% ","14% "
"9","Amanat Al Asimah","6% ","24% ","18% ","12% ","18% ","12% ","12% "
"10","Amran","21% ","21% ","17% ","17% ","4% ","17% ","4% "
"11","Dhamar","18% ","29% ","12% ","6% ","6% ","12% ","18% "
"12","Hadramaut","6% ","14% ","12% ","18% ","20% ","22% ","10% "
"13","Hajjah","13% ","11% ","17% ","13% ","15% ","17% ","13% "
"14","Ibb","19% ","12% ","15% ","12% ","12% ","15% ","15% "
"15","Lahj","5% ","15% ","20% ","5% ","20% ","25% ","10% "
"16","Marib","13% ","4% ","9% ","26% ","30% ","9% ","9% "
"17","Raymah","40% ","20% ","20% ","20% ",NA,NA,NA
"18","Sa'ada","23% ","32% ","18% ","9% ","18% ",NA,NA
"19","Sana'a","5% ","19% ","5% ","19% ","14% ","14% ","24% "
"20","Shabwah","13% ","4% ","17% ","13% ","13% ","26% ","13% "
"21","Taizz","17% ","20% ","11% ","20% ","14% ","11% ","6% "
